發生時間,發生地點,死亡受傷人數,車種,經度,緯度
107年05月27日 20時57分00秒,彰化縣二水鄉上豊村山腳路2段 / 彰化縣二水鄉上豊村山腳路2段,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.613980,23.821893
107年05月27日 22時20分00秒,臺中市清水區東山里神清路2-161號前0.0公尺,死亡1;受傷0,普通重型-機車,120.638002,24.270782
107年05月28日 18時22分00秒,新竹縣竹東鎮南清公路前32.7公尺附近,死亡1;受傷0,普通重型-機車,121.122535,24.659820
107年05月28日 18時54分00秒,花蓮縣玉里鎮忠勇路東側 / 花蓮縣玉里鎮興國路南側,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.321578,23.328442
107年05月29日 01時03分00秒,屏東縣屏東市高屏大橋,死亡1;受傷1,普通重型-機車;乘客-人,120.439921,22.647479
107年05月29日 06時17分46秒,桃園市大溪區復興路1段口 / 桃園市大溪區復興路1段口,死亡1;受傷1,普通重型-機車;自用-小客車,121.295654,24.865857
107年05月29日 07時00分00秒,雲林縣北港鎮草湖里西湖產業道路與產業道路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.303894,23.599662
107年05月29日 07時56分32秒,雲林縣四湖鄉溪底村160線道12.5公里處,死亡1;受傷1,自用-小客車;腳踏自行車-慢車,120.263536,23.647371
107年05月29日 17時33分30秒,雲林縣西螺鎮埤頭里台1線南下車道路燈252898號,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.477378,23.777727
107年05月30日 14時20分00秒,嘉義縣中埔鄉裕民村24號前 產業道路,死亡1;受傷0,普通重型-機車;自用-大貨車,120.496845,23.433457
107年05月30日 16時00分00秒,屏東縣枋寮鄉隆山村隆山路471號東側,死亡1;受傷0,普通重型-機車,120.621708,22.370139
107年05月31日 03時08分00秒,桃園市桃園區永安路南側 / 桃園市桃園區永康街,死亡1;受傷0,行人-人;自用-小客車,121.302426,24.998966
107年05月31日 04時15分00秒,高雄市小港區沿海三路燈799號前0.0公尺,死亡1;受傷0,普通重型-機車,120.372500,22.539690
107年05月31日 15時50分00秒,雲林縣西螺鎮吳厝里111之5號前,死亡1;受傷0,普通重型-機車,120.424588,23.746160
107年05月31日 17時09分00秒,新竹市東區研新三路與興業二路口,死亡1;受傷0,營業用-大貨車;普通重型-機車,120.989811,24.779057
107年06月01日 07時02分17秒,嘉義縣溪口鄉美北村157線崙尾路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.384221,23.593264
107年06月01日 07時21分00秒,新北市樹林區大安路 / 新北市樹林區俊英街,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.426237,25.002193
107年06月01日 15時45分00秒,嘉義縣太保市新埤里台18線3公里200公尺處,死亡1;受傷0,普通重型-機車,120.334875,23.475486
107年06月01日 16時18分00秒,桃園市桃園區正光二街北側 / 桃園市桃園區文中一路,死亡1;受傷0,自用-小客車;普通重型-機車,121.293498,24.999996
107年06月01日 16時50分20秒,高雄市田寮區國道3號 375公里700.0公尺處南側向中線,死亡1;受傷0,自用-小客車;自用-小貨車(含客、貨兩用);自用-大貨車,120.381735,22.851159
107年06月01日 21時52分00秒,彰化縣永靖鄉永南村西門路 / 彰化縣永靖鄉永南村永久路,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人,120.542365,23.921610
107年06月03日 00時42分00秒,基隆市仁愛區南榮路503-2號對面,死亡1;受傷0,行人-人;自用-小客車,121.741816,25.113880
107年06月03日 12時00分37秒,桃園市蘆竹區海山路2段東側 / 桃園市蘆竹區海湖東路,死亡1;受傷0,自用-小客車;普通重型-機車;計程車-小客車,121.261125,25.100630
107年06月03日 18時00分00秒,新北市三芝區田心子(北101縣道)7-1號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,121.501677,25.255779
107年06月03日 19時06分00秒,臺南市麻豆區謝厝寮里謝厝寮219號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.236813,23.150152
107年06月03日 20時40分39秒,臺東縣海端鄉台20線 207公里500.0公尺處附近,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.175686,23.130561
107年06月03日 22時48分00秒,基隆市暖暖區八堵路142號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;計程車-小客車;普通重型-機車,121.729071,25.108337
107年06月04日 13時21分48秒,桃園市龍潭區國道3號 65公里100.0公尺處南側,死亡1;受傷1,自用-大貨車;乘客-人,121.204587,24.853464
107年06月04日 14時04分23秒,花蓮縣壽豐鄉平和村中華路2段42號前0.0公尺,死亡1;受傷0,自用-小客車,121.521709,23.882584
107年06月05日 09時45分00秒,彰化縣鹿港鎮頭南里頂草路3段 / 彰化縣鹿港鎮頭南里南勢巷,死亡1;受傷0,營業用-大貨車;普通重型-機車,120.466000,24.098990
107年06月05日 20時10分00秒,臺南市安南區海尾路南側 / 臺南市安南區海環街南側,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.185413,23.036953
107年06月06日 08時51分00秒,彰化縣大城鄉菜寮村過溝巷前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.310023,23.862271
107年06月06日 09時57分00秒,彰化縣和美鎮湖內里彰新路6段657號前0.0公尺前,死亡1;受傷0,行人-人;營業用-半聯結車,120.509770,24.151756
107年06月06日 22時20分47秒,苗栗縣大湖鄉靜湖村下街23之3號前0.0公尺南側,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人;營業用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-大貨車,120.867376,24.427321
107年06月07日 03時16分00秒,桃園市龜山區忠義路二段上(下湖營區前)s107060059坪頂所,死亡1;受傷1,自用-小貨車(含客、貨兩用);行人-人;普通重型-機車;普通重型-機車,121.353709,25.040235
107年06月07日 04時58分00秒,屏東縣屏東市厚生里建民路、自由路西段,死亡1;受傷3,自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車;乘客-人;乘客-人,120.481139,22.666725
107年06月07日 05時56分41秒,宜蘭縣頭城鎮宜3路2段340號前0.0公尺附近,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.791947,24.842078
107年06月07日 08時29分00秒,臺中市神岡區岸裡里大洲路311號前0.0公尺,死亡1;受傷0,營業用-大貨車;自用-小客車,120.696569,24.253110
107年06月07日 08時42分00秒,屏東縣九如鄉信義街東側 / 屏東縣九如鄉九如路2段,死亡1;受傷0,自用-小客車;行人-人,120.488880,22.731954
107年06月07日 08時47分41秒,花蓮縣花蓮市德安二街口 / 花蓮縣花蓮市德安四街口,死亡1;受傷0,計程車-小客車;普通輕型-機車,121.593613,23.974073
107年06月07日 14時15分00秒,新北市三峽區成福路250號前0.0公尺,死亡1;受傷0,大型重型1(550C.C.以上)-機車;營業用-曳引車,121.427597,24.923419
107年06月07日 15時44分00秒,臺中市豐原區西勢里中山路前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小客車,120.715018,24.248951
107年06月08日 09時45分00秒,臺北市士林區中山北路6段 / 臺北市士林區福國路,死亡1;受傷0,普通重型-機車;普通重型-機車,121.525458,25.102529
107年06月08日 10時02分35秒,桃園市觀音區新坡里中山路2段235號前10.0公尺附近,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.126873,25.017263
107年06月08日 11時54分24秒,花蓮縣吉安鄉光華三街口 / 花蓮縣吉安鄉華城九街,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,121.575151,23.933396
107年06月08日 12時10分00秒,屏東縣屏東市大連路屏東基督教醫院前,死亡1;受傷1,普通重型-機車;普通重型-機車,120.502799,22.681898
107年06月09日 00時40分21秒,南投縣竹山鎮延平里集山路3段與東鄉路口,死亡1;受傷0,普通重型-機車,120.706624,23.767073
107年06月09日 03時04分00秒,屏東縣萬丹鄉萬全村成功街2段29號前0.0公尺附近,死亡1;受傷0,普通重型-機車;自用-小客車,120.490737,22.589708
107年06月09日 06時10分00秒,苗栗縣後龍鎮國道3號 126公里300.0公尺處北側向外側,死亡1;受傷0,營業用-大貨車;營業用-半聯結車;乘客-人,120.798548,24.607888
107年06月09日 11時52分00秒,基隆市信義區信一路 / 基隆市信義區義六路,死亡1;受傷1,行人-人;普通重型-機車,121.750655,25.128733
107年06月09日 19時59分00秒,高雄市內門區內門路石坑145燈號前0.0公尺西側,死亡2;受傷0,普通重型-機車;乘客-人,120.481168,22.979122
107年06月10日 07時04分20秒,桃園市楊梅區楊新路2段719號,死亡1;受傷1,自用-小客車;行人-人,121.127883,24.928499
107年06月10日 11時35分00秒,臺南市善化區溪美里里內道路與南122線路口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.282076,23.149988
107年06月10日 11時45分16秒,苗栗縣後龍鎮海寶里台61線北上慢車道95.4公里附近,死亡1;受傷0,普通重型-機車,120.829687,24.665801
107年06月11日 00時45分01秒,嘉義縣鹿草鄉國道1號 275公里南側向內側,死亡1;受傷1,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人,120.355172,23.398859
107年06月11日 07時51分00秒,臺中市烏日區國道3號 206公里200.0公尺處北側向外側,死亡1;受傷0,自用-小貨車(含客、貨兩用);自用-大貨車;自用-小客車;計程車-小客車;自用-小客車,120.626879,24.081912
107年06月11日 14時00分30秒,臺南市白河區河東里糞萁湖122-35號,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小貨車(含客、貨兩用),120.425964,23.345437
107年06月11日 21時40分00秒,臺中市新社區中興里興中街前0.0公尺,死亡1;受傷1,自用-小客車;行人-人;其他人-人,120.798567,24.203455
107年06月11日 22時11分59秒,南投縣草屯鎮國道3號 222公里500.0公尺處北側向中內,死亡1;受傷1,行人-人;自用-小客車;乘客-人,120.653065,23.959849
107年06月12日 07時50分00秒,桃園市大園區國際路一段與圳頭里1、2、3鄰路口,死亡1;受傷0,營業用-大貨車;普通重型-機車,121.199376,25.072943
107年06月12日 08時45分58秒,臺南市安定區嘉同里市178線,死亡1;受傷0,普通重型-機車;自用-小客車,120.222820,23.082884
107年06月13日 17時37分00秒,臺中市大肚區福山里王福街1016號前0.0公尺,死亡1;受傷0,普通輕型-機車,120.564855,24.126785
107年06月14日 10時55分00秒,臺南市楠西區台3線 367公里700.0公尺處北側向內側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.489149,23.167312
107年06月14日 11時25分00秒,宜蘭縣宜蘭市民族路232號前0.0公尺西側,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車,121.748828,24.752319
107年06月14日 11時25分00秒,桃園市大園區桃園國際機場航勤北路與華儲出口倉前路口,死亡1;受傷1,租賃車-小客車;營業用-小貨車(含客、貨兩用);普通重型-機車,121.243784,25.087473
107年06月14日 16時24分00秒,屏東縣屏東市和興里忠孝路敬軍路口,死亡1;受傷1,普通重型-機車;租賃車-小客車,120.489093,22.693233
107年06月14日 19時26分00秒,新北市樹林區日新街118號前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;普通重型-機車;自用-小客車,121.421053,24.989488
107年06月14日 22時02分00秒,臺北市大同區環河北路2段 / 臺北市大同區酒泉街,死亡1;受傷1,自用-小客車;自用-小客車;大型重型2(250-550C.C.)-機車,121.509127,25.072148
107年06月15日 03時30分00秒,臺南市新市區大營里台1線北向,死亡1;受傷0,自用-小客車,120.318155,23.102150
107年06月15日 04時45分28秒,南投縣南投市嶺興路200號前0.0公尺東側,死亡2;受傷0,自用-小客車;農耕用車(或機械)-其他車;乘客-人,120.662151,23.900166
107年06月15日 12時06分01秒,桃園市八德區介壽路1段東側 / 桃園市八德區大明街,死亡1;受傷0,營業用-曳引車;普通輕型-機車,121.301358,24.968956
107年06月15日 14時33分29秒,嘉義縣新港鄉大潭村大潭74-10號路口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.372847,23.556037
107年06月15日 20時13分20秒,新竹縣竹東鎮仁愛里北興路2段276號前0.0公尺附近,死亡1;受傷0,普通重型-機車,121.089587,24.742752
107年06月15日 22時36分11秒,桃園市龜山區國道1號 41公里200.0公尺處北側向中外,死亡1;受傷0,行人-人;自用-小客車;營業用-大貨車,121.357947,25.064851
107年06月16日 10時28分00秒,臺東縣東河鄉台11線 132公里500.0公尺處北側向外側,死亡1;受傷2,自用-小客車;乘客-人;乘客-人,121.293726,22.960788
107年06月16日 16時37分00秒,高雄市前鎮區過港隧道旗津往前鎮方向汽車道900處,死亡1;受傷1,營業用-曳引車;大型重型2(250-550C.C.)-機車;大型重型2(250-550C.C.)-機車,120.316152,22.564548
107年06月17日 08時29分11秒,臺南市南區濱南路口 / 臺南市南區喜樹路西側,死亡1;受傷0,普通重型-機車;自用-小客車,120.175925,22.937876
107年06月18日 01時15分27秒,嘉義縣太保市麻寮里產業道路往南埤路方向旁水溝,死亡1;受傷0,普通重型-機車,120.381600,23.489016
107年06月18日 14時13分00秒,臺北市中正區中華路2段 / 臺北市中正區和平西路2段,死亡1;受傷0,民營公車-大客車;行人-人,121.505373,25.033317
107年06月18日 15時14分00秒,彰化縣線西鄉台61線 169公里800.0公尺處北側向內側,死亡1;受傷0,營業用-半聯結車,120.445215,24.140665
107年06月18日 16時19分34秒,臺東縣鹿野鄉台9線 341公里100.0公尺處東側向外側,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-大貨車;乘客-人,121.139801,22.944415
107年06月19日 07時34分00秒,新北市八里區中華路2段145號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.408657,25.151831
107年06月19日 20時43分00秒,臺南市北區長榮路5段378巷口,死亡1;受傷1,普通重型-機車;行人-人;自用-小客車,120.214944,23.013081
107年06月20日 01時10分00秒,基隆市暖暖區暖碇路15巷64號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,121.753287,25.096376
107年06月20日 04時49分00秒,高雄市旗山區旗屏路東昌194燈號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.487883,22.873877
107年06月20日 07時08分57秒,雲林縣西螺鎮興農西路西螺國中(興農22號電桿),死亡1;受傷1,腳踏自行車-慢車;普通重型-機車;遊覽車-大客車,120.460517,23.793376
107年06月20日 16時42分00秒,臺中市大安區福興里興安路52號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,120.607280,24.347468
107年06月21日 02時22分00秒,彰化縣芳苑鄉王功村芳漢路王功段前0.0公尺,死亡4;受傷0,自用-小客車;乘客-人;乘客-人;乘客-人,120.332874,23.951086
107年06月21日 09時00分00秒,新北市新店區明德路 / 新北市新店區建國路,死亡1;受傷0,自用-小客車;行人-人,121.540600,24.977463
107年06月21日 09時33分00秒,新竹縣新豐鄉後湖村10埔頂266號旁,死亡1;受傷0,自用-小客車,120.991905,24.932416
107年06月21日 10時08分00秒,臺中市北屯區仁美里台74線快速公路前0.0公尺,死亡1;受傷1,營業用-大貨車;自用-小貨車(含客、貨兩用),120.649710,24.196953
107年06月21日 14時29分00秒,臺南市新營區國道1號 288公里600.0公尺處北側向交流道,死亡1;受傷0,其他人-人;自用-小貨車(含客、貨兩用),120.296979,23.317340
107年06月21日 21時33分30秒,屏東縣滿州鄉屏200線23.5公里,死亡1;受傷0,普通重型-機車,120.837263,22.101075
107年06月22日 05時15分00秒,臺南市玉井區玉田里中正路西側 / 臺南市玉井區玉田里大成路南側,死亡1;受傷1,普通重型-機車;普通重型-機車,120.467762,23.128519
107年06月22日 10時52分00秒,彰化縣和美鎮源埤里太平路 / 彰化縣和美鎮源埤里大佃路,死亡1;受傷0,自用-小客車;普通重型-機車,120.502523,24.093073
107年06月22日 13時10分09秒,屏東縣里港鄉國道10號 24公里500.0公尺處東側向內側,死亡1;受傷0,計程車-小客車,120.484402,22.809868
107年06月22日 15時33分00秒,高雄市橋頭區村成功南路 / 高雄市橋頭區南溝路,死亡1;受傷0,行人-人;營業用-曳引車,120.311154,22.755470
107年06月23日 11時12分00秒,雲林縣土庫鎮新庄里港新70電桿旁,死亡1;受傷0,普通重型-機車;計程車-小客車,120.379441,23.733519
107年06月23日 20時29分00秒,高雄市大寮區華中路華中25燈號前0.0公尺前,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,120.428900,22.573890
107年06月25日 03時59分00秒,高雄市新興區村中山一路 / 高雄市新興區青年一路,死亡1;受傷0,自用-小客車;普通重型-機車,120.302204,22.620068
107年06月25日 08時30分00秒,嘉義縣中埔鄉同仁村台3線292.2里路肩處,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.511520,23.403984
107年06月25日 13時05分00秒,臺北市大同區台北橋前0.0公尺,死亡1;受傷0,普通重型-機車,121.511184,25.062998
107年06月25日 21時29分00秒,臺東縣東河鄉尚德村七塊厝產業道路2號前0.0公尺東側,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人,121.239963,22.962243
107年06月26日 04時50分00秒,臺北市大同區民族西路 / 臺北市大同區民族西路,死亡1;受傷1,普通重型-機車;行人-人,121.512405,25.068506
107年06月26日 10時15分00秒,臺東縣卑南鄉台11線 154公里800.0公尺處南側向機、慢車道,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,121.195372,22.809048
107年06月26日 10時28分18秒,臺中市沙鹿區西勢里中航路1段168號,死亡1;受傷0,民營客運-大客車;行人-人,120.599050,24.253215
107年06月26日 10時57分00秒,臺南市北區公園路764號東側,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.211040,23.010952
107年06月26日 12時47分00秒,彰化縣田中鎮東源里山腳路3段234弄前0.0公尺前,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車,120.603329,23.857463
107年06月26日 18時44分00秒,屏東縣內埔鄉富田村富豐路38號前附近北向車道,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.544762,22.619421
107年06月26日 19時52分00秒,彰化縣溪湖鎮大突里二溪路大突弄52之11號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.467563,23.967142
107年06月27日 07時01分00秒,新竹縣新埔鎮文山路亞東段352號前,死亡1;受傷0,行人-人;自用-小客車,121.058306,24.825203
107年06月27日 08時09分00秒,新竹縣竹北市水防道路與溝貝街199巷口,死亡1;受傷0,普通重型-機車,120.994192,24.853183
107年06月27日 13時47分00秒,臺南市安定區中沙里,死亡1;受傷1,自用-小客車;乘客-人,120.210977,23.080824
107年06月27日 14時44分00秒,新竹市北區榮濱路東側 / 新竹市北區尚濱路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.930400,24.841498
107年06月27日 16時28分00秒,嘉義縣番路鄉觸口村台18線31.5公里處,死亡1;受傷0,拼裝車-其他車;自用-小客車;自用-大貨車,120.582850,23.446134
107年06月28日 16時03分00秒,彰化縣福興鄉頂粘村頂粘街 / 彰化縣福興鄉頂粘村頂粘街,死亡1;受傷0,普通重型-機車;自用-大貨車,120.397622,24.038597
107年06月28日 17時12分00秒,新竹市東區公道五路建美路,死亡1;受傷0,行人-人;自用-小客車,120.998410,24.802625
107年06月28日 17時18分00秒,苗栗縣公館鄉大坑村信東街竹安橋(東西向)與產業道路(南北),死亡1;受傷0,自用-小客車;普通重型-機車,120.831601,24.504464
107年06月28日 17時55分00秒,嘉義縣番路鄉縣159甲線 15公里500.0公尺處東側向內側,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.580574,23.458227
107年06月28日 21時20分00秒,雲林縣二崙鄉崙東村中山路1段102號,死亡2;受傷0,普通重型-機車;普通重型-機車;自用-小客車,120.417799,23.773683
107年06月28日 23時45分00秒,新北市新店區新烏路1段前0.0公尺,死亡1;受傷0,普通重型-機車,121.547246,24.951566
107年06月29日 04時44分45秒,臺南市關廟區埤頭里關新路1段746號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,120.308686,22.994001
107年06月29日 08時32分00秒,高雄市鳳山區村建國路1段 / 高雄市鳳山區經武路,死亡1;受傷0,自用-大貨車;普通重型-機車,120.363800,22.635230
107年06月29日 08時50分34秒,高雄市田寮區國道3號 382公里700.0公尺處南側向交流道,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.381735,22.851159
107年06月29日 08時58分00秒,南投縣草屯鎮雙冬里中正路25之6號對面,死亡1;受傷0,普通重型-機車,120.807200,23.989119
107年06月29日 13時40分00秒,新北市三重區中興橋機車道路前0.0公尺,死亡1;受傷0,普通重型-機車,121.493439,25.048728
107年06月29日 15時13分00秒,臺南市安南區安中路1段北側 / 臺南市安南區安中路1段口,死亡1;受傷0,腳踏自行車-慢車;普通重型-機車,120.201600,23.039520
107年06月29日 15時55分00秒,彰化縣北斗鎮大新里民生路 / 彰化縣北斗鎮大新里民生路,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,120.559803,23.851908
107年06月29日 17時00分00秒,臺中市大雅區雅楓里民生路三段295號前0.0公尺,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車,120.662120,24.232677
107年06月29日 17時45分00秒,臺東縣臺東市臨海路3段南側 / 臺東縣臺東市重慶路,死亡1;受傷0,普通重型-機車,121.123898,22.730239
107年06月30日 06時46分00秒,彰化縣芳苑鄉草湖村仁愛路 / 彰化縣芳苑鄉草湖村芳東路,死亡1;受傷1,普通重型-機車;自用-小客車,120.371111,23.932363
107年06月30日 07時30分00秒,桃園市大溪區復興路1段1089號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車,121.291196,24.840701
107年06月30日 21時37分16秒,南投縣埔里鎮隆生路83-9號,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.967483,23.959603
107年06月30日 23時08分00秒,雲林縣莿桐鄉和平路口 / 雲林縣莿桐鄉外環道路口,死亡1;受傷0,自用-小客車;普通輕型-機車,120.506190,23.766196
107年06月30日 23時15分00秒,花蓮縣玉里鎮縣193線 107公里700.0公尺處南側,死亡1;受傷0,普通重型-機車,121.344813,23.347694